districts of gujarat,dropout ratio (boys and girls)
ahmedabad,8.33
amreli,12.89
anand,18.41
aravali,9.62
banas kantha,19.17
bharuch,13.27
bhavnagar,12.21
botad,19.17
chhotaudepur,12.71
devbhoomi dwarka,21.3
dohad,16.03
ghandhinagr,13.8
gir somnath,7.51
jamnagar,14.11
junagadh,6.78
kachchh,26.53
kheda,19.04
mahesana,17.2
mahisagar,11.39
morbi,15.88
narmada,14.31
navsari,8.8
panch mahals,15.69
patan,19.47
porbandar ,15.18
rajkot,7.42
sabar kantha,12.59
surat,6.23
surendranagar,16.75
tapi,12.65
the dangs,25.4
vadodara,17.39
vaisad,9.88
